Page.Name,Created,Type,URL,Link,Link.Text
Jorge Lanata HOY,2019-10-01 18:39:20,Link,https://www.facebook.com/838045592996579/posts/1694492014018595,http://hotelsanfranciscotlaxcala.mx/rafael-correa-demando-transformar-los-medios-de-comunicacion-tienen-que-ser-publicos-y-cooperativos/,"Rafael Correa demandó transformar los medios de comunicación: ""Tienen que ser públicos y cooperativos"""
Yo estoy con Lanata,2019-10-01 18:50:55,Link,https://www.facebook.com/YoEstoyConLanata/posts/2522818954460440,http://hotelsanfranciscotlaxcala.mx/rafael-correa-demando-transformar-los-medios-de-comunicacion-tienen-que-ser-publicos-y-cooperativos/,"Rafael Correa demandó transformar los medios de comunicación: ""Tienen que ser públicos y cooperativos"""
Jorge Lanata 3.0,2019-10-01 19:05:00,Link,https://www.facebook.com/2022774791280293/posts/3000313960193033,http://hotelsanfranciscotlaxcala.mx/rafael-correa-demando-transformar-los-medios-de-comunicacion-tienen-que-ser-publicos-y-cooperativos/,"Rafael Correa demandó transformar los medios de comunicación: ""Tienen que ser públicos y cooperativos"""
Noticias Increíbles,2019-10-01 19:20:00,Link,https://www.facebook.com/NoticiasIncreiblesArg/posts/2122584824701940,http://hotelsanfranciscotlaxcala.mx/rafael-correa-demando-transformar-los-medios-de-comunicacion-tienen-que-ser-publicos-y-cooperativos/,"Rafael Correa demandó transformar los medios de comunicación: ""Tienen que ser públicos y cooperativos"""
Jorge Lanata Comunidad,2019-10-01 19:35:00,Link,https://www.facebook.com/1896896463924719/posts/2391998284414532,http://hotelsanfranciscotlaxcala.mx/rafael-correa-demando-transformar-los-medios-de-comunicacion-tienen-que-ser-publicos-y-cooperativos/,"Rafael Correa demandó transformar los medios de comunicación: ""Tienen que ser públicos y cooperativos"""
Jorge Lanata PPT,2019-10-01 19:56:12,Link,https://www.facebook.com/1800651526836664/posts/2546481575586985,http://hotelsanfranciscotlaxcala.mx/rafael-correa-daniel-scioli-no-habria-perdio-contra-macri-perdio-contra-clarin/,"Rafael Correa: ""Daniel Scioli no habría perdió contra Macri, perdió contra Clarín"""
Jorge Lanata Noticias,2019-10-01 20:10:00,Link,https://www.facebook.com/891620364294476/posts/2183933595063140,http://hotelsanfranciscotlaxcala.mx/rafael-correa-daniel-scioli-no-habria-perdio-contra-macri-perdio-contra-clarin/,"Rafael Correa: ""Daniel Scioli no habría perdió contra Macri, perdió contra Clarín"""
Jorge Lanata Informando,2019-10-01 20:25:00,Link,https://www.facebook.com/JorgeLanataInformando/posts/1159347997597979,http://hotelsanfranciscotlaxcala.mx/rafael-correa-daniel-scioli-no-habria-perdio-contra-macri-perdio-contra-clarin/,"Rafael Correa: ""Daniel Scioli no habría perdió contra Macri, perdió contra Clarín"""
Jorge Lanata 24h,2019-10-01 20:40:00,Link,https://www.facebook.com/1725134714435064/posts/2458734577741737,http://hotelsanfranciscotlaxcala.mx/rafael-correa-daniel-scioli-no-habria-perdio-contra-macri-perdio-contra-clarin/,"Rafael Correa: ""Daniel Scioli no habría perdió contra Macri, perdió contra Clarín"""
Jorge Lanata Informa,2019-10-01 20:55:00,Link,https://www.facebook.com/1610532302597058/posts/2395762337407380,http://hotelsanfranciscotlaxcala.mx/rafael-correa-daniel-scioli-no-habria-perdio-contra-macri-perdio-contra-clarin/,"Rafael Correa: ""Daniel Scioli no habría perdió contra Macri, perdió contra Clarín"""
Argentina HOY,2019-10-01 21:10:00,Link,https://www.facebook.com/399727347069661/posts/921468941562163,http://hotelsanfranciscotlaxcala.mx/rafael-correa-daniel-scioli-no-habria-perdio-contra-macri-perdio-contra-clarin/,"Rafael Correa: ""Daniel Scioli no habría perdió contra Macri, perdió contra Clarín"""
Jorge Lanata HOY,2019-10-02 11:16:36,Link,https://www.facebook.com/838045592996579/posts/1695092773958519,http://hotelsanfranciscotlaxcala.mx/rafael-correa-daniel-scioli-no-habria-perdio-contra-macri-perdio-contra-clarin/,"Rafael Correa: ""Daniel Scioli no habría perdió contra Macri, perdió contra Clarín"""
Jorge Lanata PPT,2019-10-02 11:20:24,Link,https://www.facebook.com/1800651526836664/posts/2547018248866651,http://hotelsanfranciscotlaxcala.mx/rafael-correa-demando-transformar-los-medios-de-comunicacion-tienen-que-ser-publicos-y-cooperativos/,"Rafael Correa demandó transformar los medios de comunicación: ""Tienen que ser públicos y cooperativos"""
Yo estoy con Lanata,2019-10-02 11:30:00,Link,https://www.facebook.com/YoEstoyConLanata/posts/2524049624337373,http://hotelsanfranciscotlaxcala.mx/rafael-correa-daniel-scioli-no-habria-perdio-contra-macri-perdio-contra-clarin/,"Rafael Correa: ""Daniel Scioli no habría perdió contra Macri, perdió contra Clarín"""
Jorge Lanata Noticias,2019-10-02 11:35:00,Link,https://www.facebook.com/891620364294476/posts/2185035891619577,http://hotelsanfranciscotlaxcala.mx/rafael-correa-demando-transformar-los-medios-de-comunicacion-tienen-que-ser-publicos-y-cooperativos/,"Rafael Correa demandó transformar los medios de comunicación: ""Tienen que ser públicos y cooperativos"""
Jorge Lanata 3.0,2019-10-02 11:45:00,Link,https://www.facebook.com/2022774791280293/posts/3000972360127193,http://hotelsanfranciscotlaxcala.mx/rafael-correa-daniel-scioli-no-habria-perdio-contra-macri-perdio-contra-clarin/,"Rafael Correa: ""Daniel Scioli no habría perdió contra Macri, perdió contra Clarín"""
Jorge Lanata Informando,2019-10-02 11:50:00,Link,https://www.facebook.com/JorgeLanataInformando/posts/1159784034221042,http://hotelsanfranciscotlaxcala.mx/rafael-correa-demando-transformar-los-medios-de-comunicacion-tienen-que-ser-publicos-y-cooperativos/,"Rafael Correa demandó transformar los medios de comunicación: ""Tienen que ser públicos y cooperativos"""
Jorge Lanata HOY,2019-10-02 15:21:14,Link,https://www.facebook.com/838045592996579/posts/1695279393939857,http://hotelsanfranciscotlaxcala.mx/fuerte-insulto-jose-luis-gioja-a-roberto-navarro-los-mendocinos-son-medio-gorilitas/,"Fuerte Insulto José Luis Gioja a Roberto Navarro los Mendocinos: ""Son medio gorilitas"""
Yo estoy con Lanata,2019-10-02 15:35:00,Link,https://www.facebook.com/YoEstoyConLanata/posts/2524421360966866,http://hotelsanfranciscotlaxcala.mx/fuerte-insulto-jose-luis-gioja-a-roberto-navarro-los-mendocinos-son-medio-gorilitas/,"Fuerte Insulto José Luis Gioja a Roberto Navarro los Mendocinos: ""Son medio gorilitas"""
Jorge Lanata 3.0,2019-10-02 15:50:00,Link,https://www.facebook.com/2022774791280293/posts/3001159816775114,http://hotelsanfranciscotlaxcala.mx/fuerte-insulto-jose-luis-gioja-a-roberto-navarro-los-mendocinos-son-medio-gorilitas/,"Fuerte Insulto José Luis Gioja a Roberto Navarro los Mendocinos: ""Son medio gorilitas"""
Noticias Increíbles,2019-10-02 16:05:00,Link,https://www.facebook.com/NoticiasIncreiblesArg/posts/2123190741308015,http://hotelsanfranciscotlaxcala.mx/fuerte-insulto-jose-luis-gioja-a-roberto-navarro-los-mendocinos-son-medio-gorilitas/,"Fuerte Insulto José Luis Gioja a Roberto Navarro los Mendocinos: ""Son medio gorilitas"""
Jorge Lanata Comunidad,2019-10-02 16:20:00,Link,https://www.facebook.com/1896896463924719/posts/2392700824344278,http://hotelsanfranciscotlaxcala.mx/fuerte-insulto-jose-luis-gioja-a-roberto-navarro-los-mendocinos-son-medio-gorilitas/,"Fuerte Insulto José Luis Gioja a Roberto Navarro los Mendocinos: ""Son medio gorilitas"""
Jorge Lanata PPT,2019-10-02 17:52:28,Link,https://www.facebook.com/1800651526836664/posts/2547272068841269,http://hotelsanfranciscotlaxcala.mx/fuerte-insulto-jose-luis-gioja-a-roberto-navarro-los-mendocinos-son-medio-gorilitas/,"Fuerte Insulto José Luis Gioja a Roberto Navarro los Mendocinos: ""Son medio gorilitas"""
Jorge Lanata Noticias,2019-10-02 18:05:00,Link,https://www.facebook.com/891620364294476/posts/2185578364898663,http://hotelsanfranciscotlaxcala.mx/fuerte-insulto-jose-luis-gioja-a-roberto-navarro-los-mendocinos-son-medio-gorilitas/,"Fuerte Insulto José Luis Gioja a Roberto Navarro los Mendocinos: ""Son medio gorilitas"""
Jorge Lanata Informando,2019-10-02 18:20:00,Link,https://www.facebook.com/JorgeLanataInformando/posts/1159992697533509,http://hotelsanfranciscotlaxcala.mx/fuerte-insulto-jose-luis-gioja-a-roberto-navarro-los-mendocinos-son-medio-gorilitas/,"Fuerte Insulto José Luis Gioja a Roberto Navarro los Mendocinos: ""Son medio gorilitas"""
Jorge Lanata 24h,2019-10-02 18:35:00,Link,https://www.facebook.com/1725134714435064/posts/2459478424334019,http://hotelsanfranciscotlaxcala.mx/fuerte-insulto-jose-luis-gioja-a-roberto-navarro-los-mendocinos-son-medio-gorilitas/,"Fuerte Insulto José Luis Gioja a Roberto Navarro los Mendocinos: ""Son medio gorilitas"""
Jorge Lanata Informa,2019-10-02 18:50:00,Link,https://www.facebook.com/1610532302597058/posts/2396501347333479,http://hotelsanfranciscotlaxcala.mx/fuerte-insulto-jose-luis-gioja-a-roberto-navarro-los-mendocinos-son-medio-gorilitas/,"Fuerte Insulto José Luis Gioja a Roberto Navarro los Mendocinos: ""Son medio gorilitas"""
Argentina HOY,2019-10-02 19:05:00,Link,https://www.facebook.com/399727347069661/posts/922111648164559,http://hotelsanfranciscotlaxcala.mx/fuerte-insulto-jose-luis-gioja-a-roberto-navarro-los-mendocinos-son-medio-gorilitas/,"Fuerte Insulto José Luis Gioja a Roberto Navarro los Mendocinos: ""Son medio gorilitas"""
